ticks
RELIANCE
TCS
HDFCBANK
INFY
ITC
HINDUNILVR
LT
BAJFINANCE
HCLTECH
ADANIENT
KOTAKBANK
TITAN
ULTRACEMCO
ASIANPAINT
BAJAJFINSV
NESTLEIND
WIPRO
JSWSTEEL
SBILIFE
TECHM
INDUSINDBK
BRITANNIA
DRREDDY
DABUR
SHREECEM
BAJAJHLDNG
DIVISLAB
APOLLOHOSP
ICICIPRULI
SRF
SBICARD
MARICO
PERSISTENT
PIIND
LTTS
TATACOMM
MRF
PGHH
ASTRAL
IDFCFIRSTB
TATAELXSI
PATANJALI
NYKAA
MPHASIS
BALKRISIND
AWL
APLAPOLLO
SONACOMS
FACT
PAGEIND
AUBANK
MAZDOCK
CRISIL
AIAENG
3MINDIA
MFSL
M&MFIN
DELHIVERY
STARHEALTH
COROMANDEL
JKCEMENT
METROBRAND
GLAND
IGL
APOLLOTYRE
JUBLFOOD
MSUMI
ZFCVINDIA
KPRMILL
SYNGENE
TATACHEM
NH
ANGELONE
SUNTV
ISEC
SUNDRMFAST
CREDITACC
HATSUN
CYIENT
GILLETTE
KANSAINER
GRINDWELL
FIVESTAR
CHOLAHLDNG
SKFINDIA
BSOFT
ASTERDM
RELAXO
SONATSOFTW
GSPL
RATNAMANI
PFIZER
PEL
LALPATHLAB
EMAMILTD
SANOFI
TRIDENT
KAYNES
IDFC
CIEINDIA
SUMICHEM
CROMPTON
ATUL
KIMS
PNBHOUSING
JYOTHYLAB
INDIAMART
WHIRLPOOL
NAVINFLUOR
APTUS
FINCABLES
VINATIORGA
AFFLE
RBLBANK
CENTURYPLY
CLEAN
WELSPUNLIV
DCMSHRIRAM
VTL
WESTLIFE
RKFORGE
FINEORG
BIKAJI
IEX
ECLERX
ERIS
HAPPSTMNDS
NUVOCO
AKZOINDIA
CEATLTD
EQUITASBNK
BAJAJELEC
LATENTVIEW
AAVAS
AETHER
JKLAKSHMI
MAPMYINDIA
ROUTE
CANFINHOME
SAPPHIRE
CAPLIPOINT
PRAJIND
RTNINDIA
ZYDUSWELL
TTKPRESTIG
GNFC
CRAFTSMAN
MAHLIFE
NETWORK18
PRSMJOHNSN
UJJIVANSFB
RENUKA
RATEGAIN
SAFARI
SHOPERSTOP
IBULHSGFIN
ACI
MAHSCOOTER
ESABINDIA
GALAXYSURF
HOMEFIRST
MHRIL
KTKBANK
MASTEK
PGHL
CCL
VARROC
TMB
EASEMYTRIP
VIPIND
IONEXCHANG
RESPONIND
MIDHANI
GAEL
BALRAMCHIN
JMFINANCIL
SOUTHBANK
CHEMPLASTS
RCF
ALLCARGO
KNRCON
RELIGARE
GRAVITA
TRIVENI
GARFIBRES
BALAMINES
INDIACEM
BORORENEW
DEEPAKFERT
CMSINFO
TCI
JINDWORLD
CSBBANK
SHAREINDIA
PRINCEPIPE
VAIBHAVGBL
SPANDANA
INDIGOPNTS
SYMPHONY
SIS
NESCO
CYIENTDLM
EPL
SUPRAJIT
SUNTECK
GMMPFAUDLR
VSTIND
JKPAPER
SANSERA
HNDFDS
PARADEEP
ICRA
RAIN
JAICORPLTD
RBA
GATEWAY
GUJALKALI
HCG
AGI
DBCORP
FUSION
MASFIN
SULA
TIIL
HEIDELBERG
STLTECH
PATELENG
GOKEX
VMART
GHCL
NOCIL
KKCL
ORIENTELEC
BOROLTD
FCL
TI
AMIORG
ORIENTCEM
AARTIDRUGS
WSTCSTPAPR
PRIVISCL
BBOX
ROSSARI
DCBBANK
HARSHA
THANGAMAYL
BHARATRAS
KOLTEPATIL
HATHWAY
ASHAPURMIN
HGS
SUNFLAG
DCXINDIA
HIKAL
JISLJALEQS
AVALON
LUXIND
NUCLEUS
NEOGEN
DATAMATICS
JTLIND
THYROCARE
NAVNETEDUL
KDDL
LANDMARK
INDOCO
TVSSRICHAK
SBCL
PRAKASH
PFOCUS
GREAVESCOT
UFLEX
BANARISUG
SEQUENT
GUFICBIO
VSTTILLERS
GOODLUCK
SWARAJENG
DALMIASUG
AUTOAXLES
STYLAMIND
VINDHYATEL
MPSLTD
MARATHON
NRBBEARING
JCHAC
MOLDTKPAC
DREAMFOLKS
SHALBY
RPGLIFE
ACCELYA
APOLLOPIPE
GANECOS
PARAGMILK
XPROINDIA
EVEREADY
CONFIPET
PARAS
PGIL
SOMANYCERA
KINGFA
FINOPB
UNIPARTS
HINDOILEXP
INDIAGLYCO
SATIN
AXISCADES
VIDHIING
HUHTAMAKI
LUMAXIND
WENDT
DEN
HONDAPOWER
JAGRAN
SANGAMIND
BEPL
DIAMONDYD
VENKEYS
TCNSBRANDS
OPTIEMUS
MUKANDLTD
ALEMBICLTD
IOLCP
ASTEC
VISHNU
TTKHLTCARE
RPSGVENT
UGROCAP
SDBL
TCPLPACK
ADFFOODS
MOL
PANAMAPET
MAYURUNIQ
KRSNAA
DEEPINDS
HIL
BFINVEST
ANDHRAPAP
RIIL
GLOBUSSPR
RUPA
SJS
PARACABLES
EXPLEOSOL
BHARATWIRE
GTPL
ADORWELD
FOSECOIND
SESHAPAPER
GOLDIAM
PIXTRANS
ARMANFIN
FMGOETZE
63MOONS
CANTABIL
RAMCOIND
TNPL
SERVOTECH
EVERESTIND
GNA
NELCO
5PAISA
KIRIINDUS
SHANKARA
BLKASHYAP
DCW
BCLIND
CONTROLPR
KRISHANA
EKC
SPAL
INSECTICID
SPIC
NIITLTD
SHALPAINTS
STOVEKRAFT
NDTV
VASCONEQ
KUANTUM
INDIANHUME
ROSSELLIND
ALICON
KSOLVES
STEELCAS
POKARNA
ATULAUTO
GANESHBE
COSMOFIRST
HARIOMPIPE
MADRASFERT
MONTECARLO
IGARASHI
JAYBARMARU
AVTNPL
TVTODAY
XCHANGING
ANDHRSUGAR
KOPRAN
ZOTA
SNOWMAN
PUNJABCHEM
KITEX
TEXINFRA
IMPAL
HIMATSEIDE
MANGCHEFER
AGARIND
REPRO
UTTAMSUGAR
HESTERBIO
BLISSGVS
LINCOLN
MATRIMONY
DVL
NACLIND
NELCAST
KOKUYOCMLN
ROTO
STERTOOLS
CSLFINANCE
GICHSGFIN
SATIA
AVADHSUGAR
SPORTKING
CLSEL
KAMOPAINTS
KABRAEXTRU
GULPOLY
OAL
VIMTALABS
GSLSU
NAHARSPING
MANALIPETC
DLINKINDIA
RGL
FOCUS
KELLTONTEC
KERNEX
UNIENTER
BODALCHEM
SEMAC
VISAKAIND
NINSYS
SHIVALIK
VHL
TRACXN
HPAL
FAZE3Q
DENORA
SPECIALITY
CHEMCON
SRHHYPOLTD
PPL
NCLIND
HEXATRADEX
SUTLEJTEX
SCHAND
AGSTRA
DYCL
RADIANTCMS
AMBIKCO
RSWM
SAKAR
INDOAMIN
RUSHIL
ADSL
LINC
DHARMAJ
MAGADSUGAR
CHEVIOT
BALAJITELE
ICEMAKE
GFLLIMITED
PANACEABIO
STCINDIA
TRU
JAGSNPHARM
GHCLTEXTIL
ASIANTILES
KOTHARIPET
ACL
ZUARI
SUKHJITS
TNPETRO
FOODSIN
TBZ
DMCC
BIRLACABLE
3IINFOLTD
KRITI
ELIN
DPWIRES
OCCL
MUNJALSHOW
JAYAGROGN
SREEL
BHAGERIA
MENONBE
KHAICHEM
MALLCOM
APEX
KAMATHOTEL
HTMEDIA
RUBYMILLS
PLASTIBLEN
IRISDOREME
MIRZAINT
VINYLINDIA
HINDCOMPOS
ARIHANTCAP
SHREYAS
DIGISPICE
KHADIM
AXITA
BBTCL
RACE
RITCO
INDOBORAX
ORIENTBELL
DONEAR
INTLCONV
PRITIKAUTO
BANSWRAS
APCL
NAHARINDUS
GENUSPAPER
KANORICHEM
GLOBAL
BRNL
TVSELECT
NAHARCAP
CLEDUCATE
ZIMLAB
UNIDT
AUTOIND
NBIFIN
NAHARPOLY
IITL
VENUSREM
APOLSINHOT
CYBERTECH
KOTARISUG
PROZONER
AARTISURF
CINELINE
NIPPOBATRY
VARDHACRLC
KAYA
SHEMAROO
IFBAGRO
DICIND
ORBTEXP
KCPSUGIND
MANAKSTEEL
UNIVPHOTO
SCPL
SIGMA
SINTERCOM
PODDARMENT
LYKALABS
STARPAPER
PONNIERODE
KOTHARIPRO
GOKUL
HITECHCORP
RUCHIRA
MAWANASUG
NATHBIOGEN
EIFFL
PASUPTAC
COASTCORP
SHREERAMA
DYNPRO
TAKE
EQUIPPP
SMLT
REPL
RANASUG
SHREYANIND
TIPSFILMS
AIRAN
VIRINCHI
TRIGYN
ALMONDZ
ZODIACLOTH
AARON
JAYSREETEA
MURUDCERA
MEGASTAR
GUJAPOLLO
MCLEODRUSS
LOYALTEX
BASML
RVHL
ELGIRUBCO
AHLEAST
VETO
MANORG
SAH
NECCLTD
SUPERHOUSE
UNITEDPOLY
AKSHARCHEM
ASPINWALL
DTIL
KANPRPLA
TARMAT
MAHAPEXLTD
ATAM
AARVI
ALPA
MANAKALUCO
EROSMEDIA
SMARTLINK
MUKTAARTS
BSL
SALONA
LOVABLE
ISFT
WORTH
EMMBI
