ticks
TCS
HDFCBANK
INFY
ITC
BAJFINANCE
HCLTECH
ADANIENT
TITAN
ASIANPAINT
BAJAJFINSV
NESTLEIND
WIPRO
SBILIFE
TECHM
INDUSINDBK
BRITANNIA
DABUR
SHREECEM
BAJAJHLDNG
ICICIPRULI
SBICARD
MARICO
PERSISTENT
PIIND
TATACOMM
MRF
PGHH
IDFCFIRSTB
PATANJALI
MPHASIS
BALKRISIND
AWL
APLAPOLLO
SONACOMS
FACT
CRISIL
AIAENG
3MINDIA
MFSL
DELHIVERY
STARHEALTH
GLAND
IGL
JUBLFOOD
TATACHEM
ANGELONE
SUNTV
SUNDRMFAST
CREDITACC
HATSUN
CYIENT
GILLETTE
GRINDWELL
FIVESTAR
CHOLAHLDNG
SKFINDIA
BSOFT
RELAXO
SONATSOFTW
GSPL
RATNAMANI
PFIZER
PEL
LALPATHLAB
EMAMILTD
TRIDENT
KAYNES
IDFC
CIEINDIA
SUMICHEM
ATUL
KIMS
PNBHOUSING
JYOTHYLAB
INDIAMART
WHIRLPOOL
APTUS
FINCABLES
VINATIORGA
AFFLE
RBLBANK
CENTURYPLY
CLEAN
DCMSHRIRAM
WESTLIFE
RKFORGE
FINEORG
BIKAJI
ECLERX
ERIS
NUVOCO
AKZOINDIA
CEATLTD
EQUITASBNK
LATENTVIEW
AAVAS
JKLAKSHMI
MAPMYINDIA
ROUTE
CANFINHOME
SAPPHIRE
PRAJIND
ZYDUSWELL
TTKPRESTIG
GNFC
CRAFTSMAN
NETWORK18
PRSMJOHNSN
UJJIVANSFB
RATEGAIN
SAFARI
SHOPERSTOP
IBULHSGFIN
ACI
MAHSCOOTER
ESABINDIA
GALAXYSURF
HOMEFIRST
MHRIL
KTKBANK
MASTEK
CCL
VARROC
TMB
IONEXCHANG
RESPONIND
MIDHANI
GAEL
BALRAMCHIN
JMFINANCIL
SOUTHBANK
CHEMPLASTS
RCF
ALLCARGO
KNRCON
RELIGARE
GRAVITA
TRIVENI
GARFIBRES
BALAMINES
INDIACEM
BORORENEW
DEEPAKFERT
TCI
JINDWORLD
CSBBANK
PRINCEPIPE
VAIBHAVGBL
INDIGOPNTS
SYMPHONY
SIS
CYIENTDLM
EPL
SUNTECK
JKPAPER
SANSERA
HNDFDS
PARADEEP
RAIN
GUJALKALI
HCG
DBCORP
MASFIN
SULA
TIIL
HEIDELBERG
PATELENG
VMART
NOCIL
KKCL
ORIENTELEC
TI
AMIORG
ORIENTCEM
AARTIDRUGS
WSTCSTPAPR
PRIVISCL
ROSSARI
HARSHA
THANGAMAYL
BHARATRAS
HATHWAY
ASHAPURMIN
SUNFLAG
DCXINDIA
HIKAL
AVALON
NUCLEUS
NEOGEN
DATAMATICS
JTLIND
THYROCARE
NAVNETEDUL
LANDMARK
INDOCO
SBCL
PFOCUS
GREAVESCOT
UFLEX
BANARISUG
SEQUENT
VSTTILLERS
DALMIASUG
AUTOAXLES
STYLAMIND
VINDHYATEL
MPSLTD
MARATHON
JCHAC
DREAMFOLKS
SHALBY
RPGLIFE
ACCELYA
APOLLOPIPE
GANECOS
PARAGMILK
XPROINDIA
EVEREADY
CONFIPET
PARAS
PGIL
KINGFA
FINOPB
UNIPARTS
INDIAGLYCO
SATIN
HUHTAMAKI
LUMAXIND
WENDT
DEN
HONDAPOWER
JAGRAN
BEPL
VENKEYS
MUKANDLTD
ALEMBICLTD
ASTEC
VISHNU
RPSGVENT
UGROCAP
SDBL
TCPLPACK
ADFFOODS
MOL
PANAMAPET
MAYURUNIQ
KRSNAA
BFINVEST
ANDHRAPAP
RUPA
SJS
PARACABLES
EXPLEOSOL
BHARATWIRE
GTPL
ADORWELD
FOSECOIND
SESHAPAPER
PIXTRANS
FMGOETZE
RAMCOIND
TNPL
SERVOTECH
EVERESTIND
GNA
NELCO
5PAISA
BLKASHYAP
DCW
BCLIND
CONTROLPR
KRISHANA
SPAL
INSECTICID
SPIC
NIITLTD
SHALPAINTS
STOVEKRAFT
NDTV
VASCONEQ
INDIANHUME
ROSSELLIND
ALICON
KSOLVES
STEELCAS
POKARNA
GANESHBE
COSMOFIRST
HARIOMPIPE
MADRASFERT
MONTECARLO
IGARASHI
JAYBARMARU
TVTODAY
ANDHRSUGAR
KOPRAN
ZOTA
PUNJABCHEM
KITEX
TEXINFRA
MANGCHEFER
REPRO
HESTERBIO
BLISSGVS
LINCOLN
MATRIMONY
DVL
NELCAST
STERTOOLS
GICHSGFIN
SPORTKING
CLSEL
KAMOPAINTS
KABRAEXTRU
GULPOLY
OAL
VIMTALABS
GSLSU
NAHARSPING
DLINKINDIA
RGL
FOCUS
KELLTONTEC
KERNEX
UNIENTER
BODALCHEM
VISAKAIND
NINSYS
SHIVALIK
VHL
TRACXN
HPAL
FAZE3Q
DENORA
CHEMCON
PPL
NCLIND
HEXATRADEX
SUTLEJTEX
SCHAND
DYCL
RADIANTCMS
AMBIKCO
RSWM
SAKAR
INDOAMIN
RUSHIL
ADSL
LINC
DHARMAJ
CHEVIOT
BALAJITELE
GFLLIMITED
TRU
GHCLTEXTIL
KOTHARIPET
ZUARI
SUKHJITS
TNPETRO
TBZ
DMCC
BIRLACABLE
KRITI
ELIN
OCCL
MUNJALSHOW
SREEL
BHAGERIA
MENONBE
KHAICHEM
MALLCOM
APEX
HTMEDIA
PLASTIBLEN
IRISDOREME
MIRZAINT
HINDCOMPOS
ARIHANTCAP
SHREYAS
DIGISPICE
KHADIM
AXITA
BBTCL
RACE
RITCO
PTL
INDOBORAX
DONEAR
INTLCONV
PRITIKAUTO
BANSWRAS
NAHARINDUS
KANORICHEM
LIBERTSHOE
GLOBAL
BRNL
TVSELECT
NAHARCAP
CLEDUCATE
ZIMLAB
UNIDT
NBIFIN
IITL
VENUSREM
APOLSINHOT
CYBERTECH
KOTARISUG
PROZONER
AARTISURF
CINELINE
NIPPOBATRY
VARDHACRLC
DICIND
ORBTEXP
SAHYADRI
KCPSUGIND
MANAKSTEEL
SCPL
SINTERCOM
PODDARMENT
LYKALABS
STARPAPER
PONNIERODE
KOTHARIPRO
GOKUL
RUCHIRA
MAWANASUG
NATHBIOGEN
EIFFL
PASUPTAC
SHREERAMA
MHLXMIRU
TAKE
SMLT
REPL
SHREYANIND
TIPSFILMS
AIRAN
VIRINCHI
TRIGYN
AARON
JAYSREETEA
MURUDCERA
GUJAPOLLO
MCLEODRUSS
BASML
ELGIRUBCO
AHLEAST
VETO
MANORG
NECCLTD
SUPERHOUSE
UNITEDPOLY
AKSHARCHEM
ASPINWALL
TARMAT
ATAM
AARVI
ALPA
EROSMEDIA
MUKTAARTS
BSL
SALONA
LOVABLE
ISFT
WORTH
EMMBI
UNITEDTEA
KAKATCEM
BHARATGEAR
TOUCHWOOD
NIRAJ
RELCHEMQ
MANGALAM
SIL
BALPHARMA
KOHINOOR
LAMBODHARA
AHLADA
